도서명,저자,출판사,발행일,정가,판매가,리뷰 수,페이지 수,도서 소개,상품ID
바이브 코딩 너머 개발자 생존법,애디 오스마니,한빛미디어,20251107,23000.0,20700,0,,"『바이브 코딩 너머 개발자 생존법』은 AI가 코드를 대신 작성하는 시대, 개발자가 무엇으로 경쟁력을 증명할 수 있는가를 실전적으로 보여주는 책입니다. 이 책은 단순히 프롬프트를 잘 쓰거나 AI 툴을 활용하는 요령을 알려주는 데 그치지 않습니다. 대신 AI와 협업하며 방향과 품질을 주도하는 개발자 중심의 사고방식, 그리고 이를 실무에 적용하는 구체적인 방법을 제시합니다. AI가 반복 작업과 프로토타이핑을 맡는 동안 개발자는 시스템의 구조를 설계하고 품질을 관리하며, 사용자 중심의 판단을 내려야 합니다. AI가 속도와 실행력을 책임진다면, 인간은 방향과 완성도를 책임져야 합니다. 저자는 이러한 역할의 분담이야말로 AI 시대의 개발 문화를 성숙하게 만드는 핵심이라고 강조합니다. 또한 프롬프트 설계, 코드 검증과 리팩터링, 그리고 커서, 윈드서프 등 AI IDE 기반 워크플로를 통해 인간과 AI의 협업이 어떻게 생산성을 높이면서도 품질을 지켜낼 수 있는지 구체적으로 보여줍니다. AI가 코드를 다 짜주는 시대일수록, 무엇을 만들고 왜 만드는가를 결정하는 힘이 인간 개발자의 진짜 경쟁력입니다. 『바이브 코딩 너머 개발자 생존법』은 AI 시대, 당신의 가치를 증명하는 방법을 알려줍니다.",S000218400836
구글 스프레드시트 실전 가이드북,김동호 외,씨마스21,20260105,22000.0,19800,0,,"새 학기 시작에 필요한 학급 기초 자료를 만드는 업무부터 학기 마무리 성적 자동 완성 업무까지 현장에서 교사가 가장 필요로 하는 내용들을 학교 업무 흐름에 맞추어 체계적으로 한 권에 담아 구성하였습니다. 학생 정보 가공(LEFT, REPLACE 함수), 실시간 협업(드롭다운, 댓글), 수행 평가 성적 처리 (IF, LARGE, SMALL 함수), 학사 일정 자동화(DATE, GOOGLETRANSLATE 함수) 등 교사가 학교 현장에서 접하는 실생활 업무 상황을 구글 스프레드시트의 핵심 기능을 활용하여 효율적으로 해결하는 방법을 단계별로 상세히 다룹니다. 엑셀을 잘 몰라도 누구나 구글 스프레드시트로 쉽게 배우는 업무 자동화 입문! 엑셀 전문가가 아니어도, 복잡한 함수를 잘 몰라도 걱정하지 마세요! 구글 스프레드시트에 내장된 AI 기능을 활용해 함수를 만들고, 표를 구성하는 방법까지 재치 있는 설명으로 상세하게 안내하고 있습니다. 또한 교육 행정의 스마트 전환을 목표로, 교사들이 학생 데이터 관리, 실시간 협업, 수행 평가 및 성적 관리 등을 쉽고 안전하게 할 수 있도록 핵심 기능을 안내합니다.",S000218365608
된다! 하루 만에 끝내는 제미나이 활용법,권서림,이지스퍼블리싱,20251117,20000.0,18000,0,,"이 책은 AI에 쉽게 적응하고 싶은 초보자를 위한 제미나이 입문서이다. AI 활용에 익숙하지 않은 분들을 위해 제미나이에 회원 가입하고 간단한 대화를 나누는 것으로 시작해 상황별로 쓸 수 있는 제미나이 활용법 70가지를 수록했다. 실무에서 바로 적용할 수 있는 예제부터 일상생활에 접목해서 사용할 수 있는 예제까지 한 권으로 만나 볼 수 있어서 효용성이 매우 높다. 아울러 이동하면서도 제미나이를 이용할 수 있도록 스마트폰 제미나이 앱 사용법도 담았다. 제미나이 모델을 이용한 구글의 AI 서비스, 노트북LM과 구글 AI 스튜디오도 빼놓을 수 없다. 나노 바나나로 이미지 생성하고 비오(Veo)로 동영상을 만들다 보면 제미나이의 가치를 200% 활용할 수 있다. 이 책을 읽을 때 저자의 유튜브 채널에서 동영상 강의를 함께 시청하는 것을 추천한다. 제미나이를 더욱 쉽고 빠르게 익힐 수 있기 때문이다. 또, 책 속 프롬프트 예제의 전문을 확인하고 싶거나 활용하고 싶을 땐 책에서 제공하는 링크로 접속하면 편리하다. 이 책을 선택한 독자들이 제미나이에 더 쉽게 다가갈 수 있길 바란다.",S000218358453
핸즈온 바이브 코딩: 요구사항 정의부터 리팩터링까지 직관이 아닌 원리로 익히는 실전 가이드,정도현,한빛미디어,20251031,22000.0,19800,0,,"AI가 프로그래밍의 방식을 근본적으로 바꾸고 있다. 이제 개발자는 모든 코드를 직접 작성하는 사람이 아니라 AI와 협업해 문제를 해결하는 ‘바이브 코더’가 되어야 한다. 이 책은 직관과 즉흥에 머물렀던 바이브 코딩을 넘어, LLM 기반 AI와 함께 프로젝트를 체계적으로 수행하는 방법을 제시한다. 바이브 코딩의 성숙도 5단계 모델을 통해 자신의 수준을 점검하고 성장 방향을 찾을 수 있으며, 프롬프트 엔지니어링, 자동화된 검증, TDD 등 현장에서 바로 활용할 수 있는 실전 노하우를 익힐 수 있다. AI를 단순한 도구가 아닌 함께 일하는 동료 개발자로 맞이하는 순간, 개발의 패러다임이 새롭게 열릴 것이다. 무엇을 주로 다루나요? ● 도구를 넘어 ‘본질’에 집중: 챗GPT, 커서 IDE, 클로드 코드 등 주요 AI 코딩 도구 활용법과 함께 LLM의 원리와 프롬프트 엔지니어링의 본질을 다루어 어떤 AI 도구에도 적응할 수 있는 사고 체계를 길러줌 ● 오직 실무를 위해: 프롬프트 엔지니어링, TDD, 자동화 등 실무에 바로 적용할 수 있는 개발 기법 제시 ● 실전 프로젝트: 요구사항 정의부터 설계, 테스트, 배포까지 모두 아우르는 통합 실습 ● AI 코드 리뷰: 코드 리뷰 문화와 실수를 줄이는코드 품질 관리법 누구를 위한 책인가요? ● 챗GPT, 커서 IDE, 클로드 코드 등 AI 도구를 ‘복사/붙여넣기’가 아니라 체계적으로 활용하고 싶은 개발자 ● 생성형 AI를 팀 프로젝트에 효과적으로 도입하고 싶은 시니어 개발자 및 테크 리드 ● AI 시대에 코딩 자동화 너머의 ‘설계’와 ‘문제 해결’ 역량을 갖추고 싶은 모든 프로그래머",S000218331435
챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함,이호정,리코멘드,20251110,28000.0,25200,0,,"★ AI 시대, 하나로는 부족합니다! ★ 진짜 일 잘하는 AI를 찾아 퇴근이 빨라지는 핵심 노하우를 97개의 활용 사례에 담았습니다! 2022년 11월! 무엇이든지 묻기만 하면 원하는 대답을 척척 해 내는 챗지피티를 처음 봤을 때의 충격은 아직도 잊을 수 없다. 그로부터 3년 여가 지났다. 이제, 우리는 다양한 AI 중에서 내 생활에, 내 업무에 가장 적합한 AI가 무엇인지를 찾고, 그때그때의 상황에 맞춰 적절하게 섞어서 AI를 사용할 줄 알아야 하는 단계가 되었다. 이 책은 이러한 시대적 환경에 맞춰 다섯 가지 주요 텍스트 생성형 AI인 챗지피티, 퍼플렉시티, 클로드, 코파일러, 제미나이의 특징과 활용법을 안내한다. SNS에 올릴 홍보 게시글을 써야 하는 마케터라면 클로드를, 엑셀 작업이 많은 회계 담당자라면 코파일럿을, 다음 달에 해외 여행을 계획 중이라면 제미나이를 사용할 것을 추천하는 식이다. 하루가 다르게 성능이 좋아지는 AI에 발맞춰, 개정증보판에서는 ‘다양한 활용 사례를 통해 실질적인 도움이 되었다’는 초판의 장점을 유지하면서도 최신 인터페이스와 더 진화된 AI 기능들, 실무에 밀접한 고급 활용 사례 39개를 더 추가해서 사례를 97개로 늘렸고, 추가한 사례와 연계되는 실습 영상은 필자의 유튜브 채널인 youtube.com/@엄마표AI코딩을 통해 바로 확인할 수 있다. 여러 직종에서 더 편하고 효율적으로 일하고 싶은 분이나 다양한 용도로 AI를 최적화하여 사용하고 싶은 모든 분에게 이 책은 AI를 선택과 활용에 꼭 필요한 길잡이가 되어 줄 것이다.",S000218323853
AI 개발자가 되고 싶으세요?,배휘동 외,로드북,20251111,25000.0,22500,0,,"이 책은 AI 서비스 관련 개발자와 AI를 적극 어플리케이션 개발에 활용해온 개발자의 커리어 전환과 생존 전략에 관한 이야기다. AI 시대, 개발자는 모두 다시 자신을 재정의해야 하는 시점에 와 있다. 그런 혼란 속에서 먼저 AI 속으로 뛰어든 여섯 명의 개발자들이 AI를 배우고, 실험하고, 협업하며 겪은 진짜 경험과 통찰을 담았다. 바이브 코딩, AI 플랫폼 개발, AI 글로벌 솔루션 엔지니어, AI 백엔드 개발 등 다양한 배경의 저자들은 AI를 ‘대체 기술’이 아닌 자신의 능력을 확장시키는 도구로 활용하며, AI와 함께 성장하는 새로운 개발자의 모습을 보여준다. AI를 단순히 이해하는 것을 넘어, 이 시대에 어떤 개발자가 되어야 하는가를 묻고 답하는 책이다. 혼돈의 시대 속에서도 스스로의 위치를 다시 정하고, 능동적으로 성장하려는 개발자에게 이 책은 확실한 방향과 용기를 줄 것이다. _대상 독자 다양한 AI 개발자의 커리어를 알고 싶은 개발자: AI 모델을 개발하는 것 외에 다양한 AI 개발자가 있다. 이 책에서는 플랫폼, 글로벌 솔루션, 백엔드 AI, 연구가, AI와 협업하는 개발자 등의 커리어를 다룬다. AI 시대에 다시 방향을 잡고 싶은 모든 개발자: 기술의 흐름보다 빠르게 변화하는 시대 속에서 자신이 어떤 개발자가 되어야 할지 고민하는 사람 AI를 단순히 ‘배우는 것’을 넘어 ‘활용하는 법’을 알고 싶은 실무자: 코드 한 줄의 자동화보다 AI와 협업하며 일의 방식을 바꾸고 싶은 개발자 커리어의 다음 단계를 준비하는 주니어·시니어 개발자: 입문자에겐 AI 시대의 현실적인 진입 가이드로, 시니어에겐 새로운 도약의 영감으로 조직에서 AI 전환을 고민하는 리더·기획자: 개발자의 일하는 방식과 조직 구조가 어떻게 바뀌어야 하는지 알고 싶은 관리자",S000218317288
"시작해요, 커서",리브로웍스,인사이트,20251114,22000.0,19800,0,,"코딩도 처음, 개발 툴도 처음인 비전공자가 커서를 완전히 처음부터 배울 수 있는 단계별 매뉴얼이다. 600개 그림과 따라 하기 쉬운 설명으로 설치, 기본 설정, 나만의 설정, 테마 변경, 확장 기능 활용 등 커서의 기본기를 확실하게 익힐 수 있다. 커서의 AI 챗을 이용해 포트폴리오 웹사이트 제작, 챗봇 제작까지 단계별로 따라 하면서 AI가 코딩을 어떻게 돕는지 자연스럽게 익힌다. 깃 버전 관리와 깃허브 협업까지 다뤄 실제 개발 환경에 필요한 실무 감각도 경험할 수 있다.",S000218309655
바이브 코딩 (커서 AI와 클로드 코드로 누구나!),이석현,아이콕스,20251115,27000.0,24300,0,,"과거 웹 서비스 개발은 파이썬, 자바스크립트, 자료구조, 알고리즘, 데이터베이스 등 수많은 기술의 장벽 앞에서 좌절하기 일쑤였다. 하지만 이 책은 ‘바이브 코딩’이라는 새로운 패러다임으로 기존의 장벽을 완전히 허문다. ‘바이브 코딩’이란, 복잡한 코드 대신 “이런 기능 만들어 줘”라고 AI에게 인간의 언어로 요청하고 함께 서비스를 완성해나가는 혁신적인 개발 방식이다. 이 책을 통해 ‘AI 여행 플래너’, ‘AI 코칭 뽀모도로 타이머’와 같은 실용적인 웹 서비스 34가지를 직접 만들며 AI와 협업하는 노하우를 체득하게 된다. 특히, 영수증 사진 한 장으로 가계부를 정리하거나, 흩어진 내 SNS 링크를 한 페이지에 모으는 등 일상 속 문제를 해결하는 자동화 시스템을 구축하는 과정은 이 책의 백미다. 나아가 책의 후반부에서는 기획서 작성부터 데이터베이스 설계, 실제 커뮤니티 사이트 개발 및 배포까지의 전 과정을 AI와 함께 단 2시간 만에 완성하는 경이로운 경험을 제공한다.",S000218306016
SAP Public Cloud와 Private Cloud Edition 완전 정복,권영근,북랩,20251020,35000.0,31500,0,,"SAP ERP는 수십 년간 글로벌 기업의 핵심 운영 시스템으로, 기업의 운영 표준을 이끌어 왔다. SAP R/3와 ECC 시대를 지나 인메모리 DB인 HANA, 그리고 오늘날의 S/4HANA 클라우드로 진화하면서 SAP는 기술 혁신을 넘어 비즈니스 패러다임을 바꾸어 왔다. 이제 클라우드 전환은 단순한 IT 인프라 변화가 아니라 기업의 비즈니스 모델과 지속가능성을 새롭게 정의하는 전략적 전환점이 되고 있다. 『SAP Public Cloud와 Private Cloud Edition 완전 정복』에서는 SAP S/4HANA의 Public Cloud와 Private Cloud Edition(PCE) 을 중심으로 아키텍처, 확장성, 업그레이드, 비용 구조, 운영 전략을 심층 비교한다. P ublic C loud의 표준화된 민첩성과 P CE의 유연한 커스터마이징 역량을 균형 있게 분석해, 기업이 어떤 기준으로 클라우드 경로를 선택해야 하는지 명확한 기준을 제시한다. 또한 Greenfield·Brownfield·Selective Data Transition 등 전환 전략과 데이터 이관, 테스트, 성능·보안 관리 등 실무에 필요한 핵심 기술을 폭넓게 다루었다. 특히 저자는 SAP의 최신 혁신인 Joule AI와 Green Ledger를 통해 AI 기반 업무 혁신과 ESG 통합 관리의 새로운 가능성을 제시하고 있다. Joule AI는 자연어 기반 디지털 어시스턴트로 사용성과 자동화를 강화하고, Green Ledger는 재무와 환경 데이터를 통합해 CSRD 등 글로벌 지속가능성 보고 기준에 대응할 수 있도록 점차 그 영역을 넓혀갈 것이다. IT 전문가, 컨설턴트, 비즈니스 리더 모두를 위한 이 책은 SAP 클라우드 전환을 디지털 전환의 핵심 전략으로 바라보며 전략 수립부터 기술 실행, 운영까지 전 과정을 아우르는 종합 지침서다. SAP 전환을 단순한 IT 프로젝트가 아닌 기업 디지털 전환의 핵심 전략으로 보고자 하는 모든 이들에게 필독을 권한다.",S000218204641
하루만에 이해하는 노벨 과학상 2025,전승민,포르체,20251029,12000.0,10800,0,,"《하루만에 이해하는 노벨 과학상 2025》는 올해의 과학을 가장 쉽고 빠르게 이해하고 싶은 독자를 위한 필독서다. 현대 과학의 최전선을 상징하는 노벨 과학상은 인류가 도달한 과학의 진보를 만나는 가장 좋은 지표이다. 이 책은 과학 전문 저술가가 비전공자도 쉽게 이해할 수 있는 눈높이로 2025년 노벨 과학상을 수상한 연구자와 업적을 소개한다. 복잡한 과학 용어와 논문식 설명으로 노벨 과학상이 “무슨 이야기인지 모르겠다” 하는 독자라면 단 하루, 한 권만으로 뉴스보다 깊고, 논문보다 쉽게 현대 과학의 흐름과 통찰을 읽을 수 있다. 책은 3장으로 구성되어 각 장에서 노벨 생리의학상, 물리학상, 화학상 수상자를 소개하고, 그들의 연구와 핵심 개념을 이해하기 쉽게 설명한다. 또한, 이 연구가 인류에 어떤 공헌을 하는지 안내하여 과학의 현재뿐만 아니라 미래까지 읽을 수 있다. 하루만에 읽어도 오래 남는 과학 지식과 통찰, 노벨 과학상이라는 무대 위에서 펼쳐지는 인류의 지적 여정을 이 한 권으로 따라가 보자.",S000218194041
