제목,저자,출판사,발행일,정가,판매가,리뷰 수,판매지수,상세 정보,설명,상세 페이지 URL
요즘 바이브 코딩 클로드 코드 완벽 가이드,최지호,골든래빗,2025년 09월,24000,21600,9,"30,381",N/A,"★ 200달러 MAX 플랜으로 매일 10시간씩 실험하여 얻은 노하우를 모두 담았다!★ 어디에도 없는 클로드 코드 최강 팁과 노하우, 레시피를 빠르게 알고 싶다면?★ 이 책으로 천상계에서 개발하는 진짜 바이브 코더가 ...",https://www.yes24.com/product/goods/151850127
"AI 시대의 질문력, 프롬프트 엔지니어링",류한석,코리아닷컴(Korea.com),2025년 08월,27000,24300,25,"22,371",N/A,대한민국 최고의 대기업과 공공기관이 선택한 프롬프트 엔지니어링 교과서당신의 질문력이 곧 당신의 경쟁력이다!책에 포함된 QR 코드를 통해 모든 프롬프트를 다운로드할 수 있다.이제 프롬프트는 새로운 교양이다....,https://www.yes24.com/product/goods/150566390
요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,"박진환, 공지훈, 서원진",한빛미디어,2025년 05월,20000,18000,58,"52,032",N/A,"2022 개정 교육과정에 맞춘 실전 에듀테크 활용서챗GPT, 구글 스프레드시트, 캔바, 퍼플렉시티, 클로드, LilysAI, Jungle AI, Sora, NotebookLM, Napkin AI 등 최신 AI 도구가 이 한권에! 생활기록부, 평가 계획 작...",https://www.yes24.com/product/goods/145426898
밑바닥부터 만들면서 배우는 LLM,세바스찬 라시카 /박해선 역,길벗,2025년 09월,40000,36000,14,"13,164",N/A,"한 줄 한 줄 코드를 따라가다 보면, 나만의 GPT가 완성된다!GPT를 밑바닥부터 구현하며 LLM의 원리를 손끝으로 체득하는 실전 가이드어려운 개념은 그림으로 풀고, LLM은 직접 만들면서 배운다. 이 책은 대규모 언어...",https://www.yes24.com/product/goods/154099735
AI 시대의 필수 문해력 수업,조기준,아토북,2025년 09월,17500,15750,27,"20,259",N/A,"국어 문제를 푸는 훈련이 아니라,태도와 커리어를 결정하는 힘!“AI 시대, 당신의 마지막 경쟁력은 ‘문해력’이다!”AI가 글을 요약해주고, 회의록까지 자동으로 정리하는 시대. 그러나 말투 하나, 맞춤법 하나, 보...",https://www.yes24.com/product/goods/153901970
한 걸음 앞선 개발자가 지금 꼭 알아야 할 클로드 코드,"조훈, 정찬훈",길벗,2025년 09월,26000,23400,9,"13,389",N/A,"현장에서 바로 적용할 수 있는 클로드 코드 실전 가이드!실무에서 검증된 개발 방식 그대로, 매일 1시간 4주 학습으로 클로드 코드 완전 정복!AI와 함께 개발하는 시대, 이제 클로드 코드는 더 이상 선택이 아닌 필...",https://www.yes24.com/product/goods/152379887
AI 에이전트 생태계,조쉬,로드북,2025년 08월,27000,24300,5,"16,440",N/A,"AI는 이제 LLM을 넘어, ‘에이전트의 시대’로 진입하고 있다. 『AI 에이전트 생태계』는 단순한 개발자용 튜토리얼이나 최신 트렌드 모음이 아니다. LangGraph, MCP, A2A 같은 기술 조각들을 나열하는 데 그치지 않...",https://www.yes24.com/product/goods/149414736
"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오","현병욱(오땡큐), 신수진",시프트,2025년 09월,20000,18000,25,"12,120",N/A,"AI로 시작하는 음악, 쉽고 재미있게 나만의 음악을 만들며, 음악의 매력에 빠져 보자!'AI에서 클릭 몇 번이면 음악이 뚝딱 완성되는데, 과연 책을 볼 필요가 있을까?' 직접 AI를 사용하여 음악을 만들어 보면 가졌던...",https://www.yes24.com/product/goods/152644865
바로 배워서 바로 써먹는 바이브 코딩,"박찬, 김병석, 전수연, 김지용, 구현희  외 3명
                                        
정보 더 보기/감추기



박찬
김병석
전수연
김지용
구현희
전채원
홍찬우
이상선",다빈치books,2025년 09월,22000,19800,41,"13,137",N/A,누구나 아이디어만 있다면 누구나 멋진 웹 앱을 만들 수 있다!바이브 코딩(Vibe Coding)은 코딩을 전혀 모르는 사람도 생성형 AI에 프롬프트(명령어)를 입력하여 코드를 작성하고 서비스 샘플을 만들어주는 도구이다...,https://www.yes24.com/product/goods/152079426
요즘 바이브 코딩 커서 AI 30가지 프로그램 만들기,박현규,골든래빗,2025년 09월,24000,21600,82,"10,050",N/A,"★ 월 20달러로 커서 AI를 300% 활용해보자, 당신의 아이디어를 바로 애플리케이션으로 만들어보자!★ 랜딩 페이지부터 블로그 만들기까지, 코딩 1도 몰라도 바로 시작할 수 있다!★ 커서 AI와 대화하면서 프로그래...",https://www.yes24.com/product/goods/153029475
된다! 하루 만에 끝내는 챗GPT 활용법,프롬프트 크리에이터,이지스퍼블리싱,2025년 06월,20000,18000,84,"18,657",N/A,GPT 분야 3 년 연속 베스트셀러! 최신 버전 GPT-4.1 반영!초보자도 1 시간이면 바로 사용 가능! 업무부터 자기 계발까지 챗 GPT 에게 일 시키고 시간 버는 법!챗 GPT 입문 분야 베스트셀러인 『된다! 하루 만에 끝내...,https://www.yes24.com/product/goods/146955725
"요즘 AI 에이전트 개발, LLM RAG ADK MCP LangChain A2A LangGraph",박승규,골든래빗,2025년 08월,32000,28800,0,"9,477",N/A,★ AI 에이전트 실전 실무 개발자가 선사하는★ 싱글 에이전트부터 멀티 에이전트까지 ★ 60가지 예제로 배우는 실전 개발 비법을 만나자!이 책은 실무에서 AI 에이전트를 개발하는 저자가 쌓은 모든 노하우를 녹여 ...,https://www.yes24.com/product/goods/150701473
누구나 아는 나만 모르는 챗GPT : 세상에서 가장 쉬운 챗GPT & AI 입문서,이성원,한빛미디어,2025년 10월,19000,17100,5,"6,018",N/A,"이보다 쉬운 챗GPT & AI 책은 없다!왕초보를 위한, 세상에서 가장 쉬운 챗GPT & AI 입문서 누구나 아는, 그러나 나만 몰랐던 챗GPT와 AI, 이 책은 IT에 서툰 분도 단숨에 따라 할 수 있도록 진짜 쉽고 친절하게 설명...",https://www.yes24.com/product/goods/154232193
Do it! LLM을 활용한 AI 에이전트 개발 입문,이성용,이지스퍼블리싱,2025년 05월,35000,31500,16,"13,875",N/A,"GPT API를 활용한 업무 자동화부터 랭체인과 랭그래프를 활용한 멀티에이전트 개발까지!한 권으로 끝내는 AI 에이전트 개발 입문! AI가 모두의 일상을 바꾸고 있는 지금, AI 기술을 제대로 이해하고 활용하는 방법을...",https://www.yes24.com/product/goods/146036009
혼자 공부하는 머신러닝+딥러닝,박해선,한빛미디어,2025년 04월,32000,28800,140,"15,729",N/A,"머신러닝 분야 부동의 베스트셀러! 트랜스포머와 LLM 실습까지 더 많이 채웠다!케라스는 물론 파이토치까지, 혼자서도 1:1 과외하듯 배우는 인공지능 자습서 ** 혼공 용어 노트, 저자 직강 유튜브 강의, FAQ(자주 하...",https://www.yes24.com/product/goods/143912145
AI 엔지니어링,칩 후옌 /변성윤 역,한빛미디어,2025년 09월,40000,36000,1,"3,786",N/A,"최고의 AI 전문가 칩 후옌이 엔비디아, 스노클 AI, 스탠퍼드에서 쌓은 현장 경험과 노하우!모델 활용을 넘어서, 실전으로 통하는 AI 서비스 설계 가이드“프로덕트 레벨에 맞는 설계란 무엇일까요?”파운데이션 모델...",https://www.yes24.com/product/goods/154925812
요즘 교사를 위한 AI 디지털 수업 설계 가이드 with 2022 개정 교육과정,"김진관, 김상섭, 이대형, 이상선, 윤신영",한빛미디어,2025년 08월,22000,19800,34,"5,490",N/A,"기술 나열은 그만, 교육 철학과 AI가 만나는 진짜 수업 설계 가이드생성형 AI를 활용한 교과 세특 작성, 맞춤형 도구 개발 등 실제 적용 노하우 수록자체 개발 수업 설계 템플릿, 학습 지원 도구, 평가 도구 플랫폼 ...",https://www.yes24.com/product/goods/151350143
