video_id,keyword,title,channel,published_at,description,view_count,like_count,comment_count,url
F37MHn7fMyE,신혼부부 광파오븐,1800만원 LG 혼수가전 후기! 잘산템과 후회템까지 ⚡️,버블리 bubblee,2025-07-18,"#혼수가전 #신혼가전 #신혼부부 
1800만원 LG 혼수가전 1년 사용 후기!
신혼집 준비하면서 풀세트로 구매한 LG 혼수가전 1년 실사용 후기와 잘산템 vs 후회템을 솔직하게 말씀드려봤어요!

📌영상 타임라인
0:00 인트로
1:00 혼수가전 구매 리스트 & 총금액
3:04 LG전자로 통일한 이유
5:44 설치&배송 만족도
7:52 1년 실사용 장단점
22:09 마무리

🧾 구매한 가전 리스트
- LG 컨버터블 냉장고·냉동고
https://www.lge.co.kr/convertible-refrigerators/x322gb8

-",140436,1247,109,https://www.youtube.com/watch?v=F37MHn7fMyE
9S3M7Vi0tqo,신혼부부 광파오븐,"인기 🥩전기오븐🥐 5종 최고의 제품은?(크기,레인지,오븐,그릴,세척 등 비교)",노써치,2022-04-08,"어느 가정에나 있는 전자레인지와  어느 순간 어엿한 대세 가전으로 발돋움한 전기오븐과 에어프라이어! 우리 주방의 편리함을 올려주는 일등공신들인데요.

이제는 이 모든 것이 합쳐진 복합전기오븐이 출시되고 있습니다.
몰랐던 분들께는 아직 생소한 제품, 알고 있던 분들께는 알면 알수록 정확히 알기 어려운 복합전기오븐을 비교해 보았습니다.

#전기오븐 #광파오븐 #전기오븐추천

0:00 인트로
0:53 part 1. 구조&크기
 -  내부구조, 작동방식, 외관/조리실 크기
4:55 part 2. 레인지 조리성능
- 가열속도, 균일성, 해동",616915,7262,322,https://www.youtube.com/watch?v=9S3M7Vi0tqo
p5GdzTy0UsQ,신혼부부 광파오븐,1탄) 신혼 필수 가전제품 1년 사용 솔직 후기! /냉장고/광파오븐/커피머신/믹서 등 크고 작은 가전 추천 ~ 비추천 리뷰 (주방편),호호팸(오늘마씸),2020-01-23,"안녕 여러분 반갑습니다! 오늘도 행복한 오늘입니다 :)
오늘은 1년간 #신혼집 에서 사용해본 #가전제품 에 대한 #리뷰 를 들고왔어요!
영상이 너무 길어져 주방편 / 주방 외 편으로 나누어 업로드 예정입니다:)
설 명절 잘 보내시고 새해복 많이 받으세요! ❤️

👀영상에 나온 제품들 
- 냉장고 LG 디오스 노크온
- 우유 거품기 턴블러 
- 필립스 믹서 HR3556/00
- 드롱기 원두 그라인더 kg79
- 프렌치불 딜라잇 세라믹 전기포트
- 센스맘 내열유리포트 (사은품받은건데 내구성이 너무좋네요 ..안망가져…)
- 쿠쿠 전기압",19591,95,19,https://www.youtube.com/watch?v=p5GdzTy0UsQ
PdfCX1rKQmA,신혼부부 광파오븐,가성비 광파오븐 꿀조합! 자취생/신혼부부 추천 주방템 비교분석,리뷰탐정단,2025-10-01,"이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.

5위 : 키친아트 라이트 웨이브 광파오븐 12L 고객직접설치, KO-121MT
금액 : 47000원
제품링크 : https://link.coupang.com/a/cUaf24

4위 : 발뮤다 더 레인지 전기오븐레인지, K09B(White)
금액 : 648910원
제품링크 : https://link.coupang.com/a/cUaf2q

3위 : 트루리빙 멀티 할로겐 광파오븐 12L 세트 자가설치, TL-OV120
금액 : 45890원
제품링크 ",4,0,0,https://www.youtube.com/watch?v=PdfCX1rKQmA
VZAJMUdv4Zc,신혼부부 광파오븐,LG DIOS 광파오븐 ML39BW 제품 구성 알아보기,ITeaTime,2021-04-07,"요즘 인기 좋은 LG DIOS 광파오븐 ML39BW 제품을 구입했습니다.
본격적으로 요리를 하기에 앞서 제품의 구성에대해 알아보는 시간입니다.",5371,0,3,https://www.youtube.com/watch?v=VZAJMUdv4Zc
zQS3FWOkePo,신혼부부 광파오븐,"“혼수가전 1,000만원이면 끝!“🏠 30평대 신혼부부 혼수 가전가구 싸게 사는법｜혼수가전 견적｜혼수｜신혼｜냉장고추천｜세탁기추천｜TV추천｜LG｜삼성｜로보락｜TCL",리뷰머신,2025-08-08,"#신혼가전 #혼수 #신혼 #LG #삼성
⭐ 리뷰머신 공동구매 제품 보러가기 👉 https://link.inpock.co.kr/reviewland

⭐️⭐️⭐️⭐️ 리뷰머신 X 엔오오엔 식탁 공동구매 OPEN⭐️⭐️⭐️⭐️
✅엔오오엔 우디 원목 *확장형 식탁 
링크 : https://mkt.shopping.naver.com/link/69a300bcb62c9114c9c53a47
🔶할인가 : 319,000원 (정가 : 729,000원)
사이즈 : 1200/1600 (확장형)
상판 : 포세린 통세라믹 12T 
⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️",107785,1706,40,https://www.youtube.com/watch?v=zQS3FWOkePo
mAa3y20kNhQ,신혼부부 광파오븐,"오븐 추천! 쌩초보를 위한 상식 정리! 구매 전 꼭 보세요. (컨벡션 광파 스팀 전기, 에어프라이어 전자레인지 그릴 차이점 비교, 가격 유지비용, 가성비 가정용 업소용, 요리)",아정당,2025-02-12,"[아정당 대표번호 : 📞 1833 - 3504]

⏳️타임라인⌛️
00:00 인트로💙
00:20 작동방식 
00:59 작동원리
02:49 제품별 특징
04:04 총정리
04:23 오븐 0원에 사용하는 방법
06:14 아웃트로

📌 100% 환불은 보장이사 이용 고객에 한하여 진행됩니다.
📌 100% 환불의 조건은 다음과 같습니다.
① 견적서상 도착지연
② 견적서상 작업인원 불일치
③ 견적서상 화물차량의 톤수 및 댓수 불일치
④ 견적서상 작업지연
⑤ 견적서상 고객 요청사항 미이행
⑥ 이사자재 청결 및 위생상태 불량
⑦ 화물자동차운송주",68217,414,15,https://www.youtube.com/watch?v=mAa3y20kNhQ
1tSQMFRS0yU,신혼부부 광파오븐,전자렌지+에어프라이어 다된다며.. 🥺 #스팀에어프라이어 #살림템,유부림ㅣ똑띠살림,2025-07-09,,443998,1619,331,https://www.youtube.com/watch?v=1tSQMFRS0yU
QjXJZh5_qAk,신혼부부 광파오븐,"LG DIOS 광파오븐, 스마트 인버터, 인공지능쿡으로 집에서 만드는 언택트 시대 집콕 요리! 에어프라이어, 전자레인지 기능까지!",릴라킹,2021-01-12,"● 이 영상은 LG전자로부터 제품 대여 및 소정의 원고료를 지원 받았습니다.

#유료광고 #협찬 #LG광파오븐 #오븐 #주방가전 #광파오븐

세상이 갈수록 편리해지는 요즘입니다. 요리는 잘 못하는 릴라킹도 맛있는 요리를 간편하게 할 수 있는 세상이라니, LG DIOS 광파오븐을 몇달간 사용해봤는데요. 광파오븐 하나로 다양한 요리를 쉽고 간편하게 즐길 수 있어 정말 매력적인 주방가전인것  같네요. 평소 집에서 다양한 요리를 즐기는 분들이라면 꼭 한번 보시길 바래요.

● 제품스펙
- 컨벡션오븐, 구이(그릴), 전자레인지, 발효, 스팀",68025,586,31,https://www.youtube.com/watch?v=QjXJZh5_qAk
SlTXFJl1EJI,신혼부부 광파오븐,광파오븐에 구운 식빵,solutus,2020-06-28,"http://solutus.tistory.com/
광파오븐에 구운 식빵
2020. 6.28.",1565,10,0,https://www.youtube.com/watch?v=SlTXFJl1EJI
